"","text","creation_time","isRetweet","retweet_count","favoite_count","user"
"50"," godramasonline What Shahrukh Replied When His Daughter Asked About Her Religion   httpstcoqVJrmEmKPl httpstcoZIVkgwl",2016-10-23 19:37:03,TRUE,2,0,"RajaAmer10"
"51","Abba  The Winner Takes It All  iamsrk Dear Shahrukh my friends from SRKTurkeyFCCFC come to u Wish all of u luck httpstcoSjMhKFr",2016-10-23 19:36:36,FALSE,2,2,"YandalYasemin"
"52"," SRKsSoul  of people in the world recognize India as a country that Shahrukh lives in <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>

BHARAT KI SHAAN SHAH RUKH KHAN httpstc…",2016-10-23 19:34:36,TRUE,114,0,"akhan127"
"53","People here  boycott aamir  shahrukh salman n there movies 

In reality bhai dangal pe  off h  book kar bc",2016-10-23 19:32:14,FALSE,0,0,"R_Sarawgi"
"54","I liked a YouTube video from mukeshagrawal httpstcovyzPgZUmLm Baadshah  The Fourth Teaser Of Shahrukhs st Bday gift",2016-10-23 19:31:51,FALSE,0,0,"mukeshagrawal24"
"55"," SRKsSoul  of people in the world recognize India as a country that Shahrukh lives in <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>

BHARAT KI SHAAN SHAH RUKH KHAN httpstc…",2016-10-23 19:31:25,TRUE,114,0,"DonRiju"
"56"," SRKsSoul  of people in the world recognize India as a country that Shahrukh lives in <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>

BHARAT KI SHAAN SHAH RUKH KHAN httpstc…",2016-10-23 19:31:09,TRUE,114,0,"SHAHRUKHDEVOTEE"
"57"," SRKsSoul  of people in the world recognize India as a country that Shahrukh lives in <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>

BHARAT KI SHAAN SHAH RUKH KHAN httpstc…",2016-10-23 19:29:46,TRUE,114,0,"KashifSRKian"
"58"," SRKsSoul  of people in the world recognize India as a country that Shahrukh lives in <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>

BHARAT KI SHAAN SHAH RUKH KHAN httpstc…",2016-10-23 19:28:54,TRUE,114,0,"insrksworld"
"59"," SRKsSoul  of people in the world recognize India as a country that Shahrukh lives in <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>

BHARAT KI SHAAN SHAH RUKH KHAN httpstc…",2016-10-23 19:28:27,TRUE,114,0,"SRKsSoul"
"60","Shahrukh khan to play villain in DHOOM  httpstcoSGrjvxePMP httpstcoVGXvmEqVw",2016-10-23 19:26:09,FALSE,0,0,"Pasha54Pasha"
"61"," Latentes Shahrukh Khan shouldve left u chasing the train httpstcoluLXslpgQ",2016-10-23 19:23:41,TRUE,260,0,"shallowrai"
"62","Many actors or even actresses speak the terms  how they see themselves or what their ambitions are what Shahrukh had been saying for yrs",2016-10-23 19:15:34,FALSE,0,0,"Koffeedeprived"
"63"," breakfreeofbox iamsrk Ur sweet support of aliaa in DearZindagiTake makes us sing Love you Shahrukhji Enjoy my doll tribute ht…",2016-10-23 19:15:25,TRUE,7,0,"iSRKiran"
